date,urate,junk_spread
1996-09-01,7.1,0.69
1996-10-01,7,0.680000000000001
1996-11-01,7,0.69
1996-12-01,7,0.69
1997-01-01,6.9,0.67
1997-02-01,6.8,0.630000000000001
1997-03-01,6.7,0.63
1997-04-01,6.6,0.609999999999999
1997-05-01,6.5,0.619999999999999
1997-06-01,6.4,0.609999999999999
1997-07-01,6.3,0.61
1997-08-01,6.2,0.600000000000001
1997-09-01,6.2,0.55
1997-10-01,6.1,0.57
1997-11-01,6.1,0.55
1997-12-01,6,0.56
1998-01-01,6,0.58
1998-02-01,6,0.58
1998-03-01,6,0.600000000000001
1998-04-01,6,0.64
1998-05-01,6,0.609999999999999
1998-06-01,6,0.6
1998-07-01,6,0.600000000000001
1998-08-01,6,0.62
1998-09-01,6,0.69
1998-10-01,5.9,0.81
1998-11-01,5.9,0.93
1998-12-01,5.8,1.01
1999-01-01,5.7,1.05
1999-02-01,5.6,0.989999999999999
1999-03-01,5.5,0.91
1999-04-01,5.4,0.840000000000001
1999-05-01,5.3,0.79
1999-06-01,5.3,0.789999999999999
1999-07-01,5.2,0.76
1999-08-01,5.2,0.75
1999-09-01,5.1,0.81
1999-10-01,5.1,0.830000000000001
1999-11-01,5,0.79
1999-12-01,5,0.64
2000-01-01,5,0.55
2000-02-01,5,0.609999999999999
2000-03-01,5,0.69
2000-04-01,5,0.760000000000001
2000-05-01,5.1,0.91
2000-06-01,5,0.81
2000-07-01,5,0.699999999999999
2000-08-01,4.9,0.71
2000-09-01,4.9,0.73
2000-10-01,4.8,0.79
2000-11-01,4.7,0.829999999999999
2000-12-01,4.7,0.81
2001-01-01,4.7,0.779999999999999
2001-02-01,4.8,0.77
2001-03-01,4.9,0.859999999999999
2001-04-01,5,0.87
2001-05-01,5.1,0.78
2001-06-01,5.2,0.79
2001-07-01,5.4,0.84
2001-08-01,5.6,0.83
2001-09-01,5.9,0.859999999999999
2001-10-01,6.1,0.88
2001-11-01,6.3,0.84
2001-12-01,6.5,1.28
2002-01-01,6.6,1.32
2002-02-01,6.7,1.38
2002-03-01,6.7,1.3
2002-04-01,6.7,1.27
2002-05-01,6.7,1.34
2002-06-01,6.7,1.32
2002-07-01,6.7,1.37
2002-08-01,6.7,1.21
2002-09-01,6.8,1.25
2002-10-01,6.8,1.41
2002-11-01,6.8,1.31
2002-12-01,6.9,1.24
2003-01-01,6.9,1.18
2003-02-01,6.9,1.11
2003-03-01,7,1.06
2003-04-01,7,1.11
2003-05-01,7,1.16
2003-06-01,7,1.22
2003-07-01,7,1.13
2003-08-01,7,1.13
2003-09-01,6.9,1.07
2003-10-01,6.8,1.03
2003-11-01,6.7,1.01
2003-12-01,6.6,0.98
2004-01-01,6.6,0.9
2004-02-01,6.5,0.77
2004-03-01,6.5,0.78
2004-04-01,6.5,0.73
2004-05-01,6.4,0.71
2004-06-01,6.3,0.77
2004-07-01,6.2,0.8
2004-08-01,6.1,0.81
2004-09-01,6,0.81
2004-10-01,5.9,0.74
2004-11-01,5.9,0.680000000000001
2004-12-01,5.8,0.680000000000001
2005-01-01,5.8,0.659999999999999
2005-02-01,5.7,0.62
2005-03-01,5.6,0.659999999999999
2005-04-01,5.5,0.72
2005-05-01,5.4,0.859999999999999
2005-06-01,5.3,0.9
2005-07-01,5.3,0.890000000000001
2005-08-01,5.3,0.87
2005-09-01,5.3,0.9
2005-10-01,5.2,0.95
2005-11-01,5.2,0.97
2005-12-01,5.1,0.95
2006-01-01,5,0.95
2006-02-01,5,0.92
2006-03-01,4.9,0.88
2006-04-01,4.9,0.84
2006-05-01,4.9,0.8
2006-06-01,4.9,0.890000000000001
2006-07-01,4.9,0.91
2006-08-01,4.9,0.91
2006-09-01,4.8,0.92
2006-10-01,4.8,0.91
2006-11-01,4.8,0.87
2006-12-01,4.9,0.899999999999999
2007-01-01,4.9,0.94
2007-02-01,5,0.890000000000001
2007-03-01,5,0.97
2007-04-01,5.1,0.92
2007-05-01,5.1,0.92
2007-06-01,5.2,0.91
2007-07-01,5.3,0.92
2007-08-01,5.4,0.86
2007-09-01,5.6,0.85
2007-10-01,5.7,0.82
2007-11-01,5.7,0.96
2007-12-01,5.8,1.16
2008-01-01,5.9,1.21
2008-02-01,6,1.29
2008-03-01,6.2,1.38
2008-04-01,6.4,1.42
2008-05-01,6.7,1.36
2008-06-01,7,1.39
2008-07-01,7.3,1.49
2008-08-01,7.6,1.51
2008-09-01,7.9,1.66
2008-10-01,8.3,2.6
2008-11-01,8.8,3.09
2008-12-01,9.3,3.38
2009-01-01,9.9,3.09
2009-02-01,10.4,2.81
2009-03-01,10.8,2.92
2009-04-01,11.1,3
2009-05-01,11.4,2.52
2009-06-01,11.6,1.89
2009-07-01,11.7,1.68
2009-08-01,11.9,1.32
2009-09-01,12,1.18
2009-10-01,12.1,1.14
2009-11-01,12.2,1.13
2009-12-01,12.3,1.11
2010-01-01,12.4,0.99
2010-02-01,12.4,0.99
2010-03-01,12.4,1
2010-04-01,12.4,0.96
2010-05-01,12.3,1.09
2010-06-01,12.3,1.35
2010-07-01,12.2,1.29
2010-08-01,12.3,1.17
2010-09-01,12.3,1.13
2010-10-01,12.3,1.04
2010-11-01,12.3,1.05
2010-12-01,12.2,1.08
2011-01-01,12.1,1.05
2011-02-01,12,0.930000000000001
2011-03-01,11.9,0.9
2011-04-01,11.9,0.859999999999999
2011-05-01,11.9,0.82
2011-06-01,11.9,0.76
2011-07-01,11.8,0.83
2011-08-01,11.8,0.99
2011-09-01,11.6,1.18
2011-10-01,11.5,1.39
2011-11-01,11.3,1.27
2011-12-01,11.1,1.32
2012-01-01,11,1.38
2012-02-01,10.9,1.29
2012-03-01,10.8,1.24
2012-04-01,10.7,1.23
2012-05-01,10.7,1.27
2012-06-01,10.5,1.38
2012-07-01,10.4,1.47
2012-08-01,10.2,1.43
2012-09-01,10.1,1.35
2012-10-01,9.9,1.11
2012-11-01,9.8,1.01
2012-12-01,9.7,0.98
2013-01-01,9.6,0.930000000000001
2013-02-01,9.5,0.95
2013-03-01,9.4,0.919999999999999
2013-04-01,9.3,0.86
2013-05-01,9.2,0.84
2013-06-01,9.1,0.920000000000001
2013-07-01,9,0.98
2013-08-01,8.9,0.88
2013-09-01,8.8,0.83
2013-10-01,8.6,0.779999999999999
2013-11-01,8.5,0.75
2013-12-01,8.4,0.76
2014-01-01,8.2,0.7
2014-02-01,8.1,0.649999999999999
2014-03-01,8,0.68
2014-04-01,7.8,0.66
2014-05-01,7.7,0.6
2014-06-01,7.6,0.55
2014-07-01,7.5,0.57
2014-08-01,7.4,0.61
2014-09-01,7.3,0.69
2014-10-01,7.2,0.77
2014-11-01,7.1,0.87
2014-12-01,6.9,0.95
2015-01-01,6.8,0.99
2015-02-01,6.7,0.9
2015-03-01,6.6,0.9
2015-04-01,6.5,0.96
2015-05-01,6.4,0.91
2015-06-01,6.3,0.94
2015-07-01,6.1,1.05
2015-08-01,6,1.15
2015-09-01,5.9,1.27
2015-10-01,5.8,1.39
2015-11-01,5.8,1.4
2015-12-01,5.7,1.49
2016-01-01,5.7,1.45
2016-02-01,5.6,1.38
2016-03-01,5.6,1.31
2016-04-01,5.5,1.17
2016-05-01,5.5,1.03
2016-06-01,5.5,1.03
2016-07-01,5.5,0.94
2016-08-01,5.5,0.92
2016-09-01,5.5,0.899999999999999
2016-10-01,5.5,0.87
2016-11-01,5.4,0.85
2016-12-01,5.4,0.77
2017-01-01,5.3,0.74
2017-02-01,5.1,0.69
2017-03-01,5,0.67
2017-04-01,5,0.7
2017-05-01,4.9,0.7
2017-06-01,4.8,0.69
2017-07-01,4.8,0.69
2017-08-01,4.8,0.68
2017-09-01,4.7,0.67
2017-10-01,4.6,0.72
2017-11-01,4.5,0.7
2017-12-01,4.5,0.71
2018-01-01,4.4,0.71
2018-02-01,4.3,0.69
2018-03-01,4.3,0.77
2018-04-01,4.2,0.82
2018-05-01,4.2,0.83
2018-06-01,4.2,0.87
2018-07-01,4.2,0.92
2018-08-01,4.2,0.89
2018-09-01,4.2,0.9
2018-10-01,4.3,0.930000000000001
2018-11-01,4.3,1
2018-12-01,4.3,1.11
2019-01-01,4.3,1.19
2019-02-01,4.3,1.16
2019-03-01,4.2,1.07
2019-04-01,4.1,1.01
2019-05-01,4,0.96
2019-06-01,4,1.04
2019-07-01,4,0.99
2019-08-01,4,0.89
2019-09-01,4,0.88
2019-10-01,4,0.91
2019-11-01,4.1,0.88
2019-12-01,4.1,0.87
2020-01-01,4.3,0.83
2020-02-01,4.4,0.83
2020-03-01,5.5,1.27
2020-04-01,16.1,1.7
2020-05-01,15.8,1.45
2020-06-01,13.8,1.2
2020-07-01,13.1,1.17
2020-08-01,11.8,1.02
2020-09-01,9.9,1.05
2020-10-01,9.3,1.09
2020-11-01,9,1
2020-12-01,9,0.9
2021-01-01,8.7,0.79
2021-02-01,8.6,0.72
2021-03-01,8.5,0.7
2021-04-01,8.4,0.7
2021-05-01,8,0.66
2021-06-01,7.9,0.65
2021-07-01,7.4,0.67
2021-08-01,7,0.69
2021-09-01,6.5,0.7
2021-10-01,6.1,0.67
2021-11-01,5.7,0.66
2021-12-01,5.4,0.65
2022-01-01,5.2,0.65
2022-02-01,4.8,0.72
2022-03-01,4.5,0.86
2022-04-01,4.3,0.9
2022-05-01,4.1,0.99
2022-06-01,4,1.03
2022-07-01,3.9,1.15
2022-08-01,3.8,1.08
2022-09-01,4,1.1
2022-10-01,4.2,1.16
2022-11-01,4.3,1.17
2022-12-01,4.4,1.16
2023-01-01,4.4,1.1
2023-02-01,4.5,1.03
2023-03-01,4.5,1.11
2023-04-01,4.5,1.06
2023-05-01,4.6,1.1
2023-06-01,4.6,1.1
2023-07-01,4.7,1.08
2023-08-01,4.8,1.07
2023-09-01,4.9,1.03
2023-10-01,5,1.02
2023-11-01,5.1,1.01
2023-12-01,5.1,0.899999999999999
2024-01-01,5.1,0.81
2024-02-01,5.1,0.739999999999999
2024-03-01,5.1,0.74
2024-04-01,5.2,0.72
2024-05-01,5.2,0.7
2024-06-01,5.3,0.69
2024-07-01,5.4,0.72
2024-08-01,5.4,0.73
2024-09-01,5.5,0.74
2024-10-01,5.5,0.68
2024-11-01,5.5,0.640000000000001
2024-12-01,5.5,0.6
2025-01-01,5.4,0.62
2025-02-01,5.4,0.6
